stage,seed,radius,width,method,normalized_regret,regret,target_mse,normal_contribution,test_cost,rare_cost,common_cost,rare_axis_span,student_boundary_fraction,weighted_distance,radial_slack
neural_information_transfer,12101,2.0,4,point,0.2672050070394908,0.078441989763328,0.08731204891051843,0.015577314547754732,6.87413456282461,51.38393829397371,1.9634568402500134,0.9998991563115128,0.08677164713541666,0.07103823727143974,0.007403752491888273
neural_information_transfer,12101,2.0,4,weight,0.2617897708650495,0.07685226693115536,0.08740905781305276,0.013917745305757363,6.853158977806789,51.18927120362946,1.9616442920085162,0.9999826041001256,0.08150227864583333,0.07075248217879596,0.006099784752359401
neural_information_transfer,12101,2.0,16,restored,0.000448892744648237,0.00013177911772935136,0.0001280368803387611,3.959256388544665e-05,6.40860353444803,51.113853074557944,1.4763626662385587,1.0000000000000002,0.20640055338541666,0.000131642251732374,1.3686599698107068e-07
neural_information_transfer,12101,2.0,16,point,0.0002241834046439637,6.581236080501604e-05,5.0336286478543125e-05,2.9570234540468366e-05,6.408625554658753,51.11426101007348,1.4763421091846967,1.0000000000000004,0.20662434895833331,6.576692737412533e-05,4.5433430894788366e-08
neural_information_transfer,12101,2.0,16,weight,0.0003276340853781493,9.618184126149935e-05,8.817882715564359e-05,3.269308570943875e-05,6.408621256535168,51.11422667742511,1.4763411247102285,1.0000000000000024,0.20638020833333331,9.610285785661383e-05,7.898340488868452e-08
neural_information_transfer,12101,2.0,16,shuffled,0.003953096817314509,0.0011604901551541679,0.0013233645959090025,0.0002076676460996889,6.4120551888231,51.11434744106255,1.4801405922762165,1.0,0.20499674479166666,0.0011596744159219536,8.15739232217974e-07
neural_information_transfer,12101,8.0,2,weight,0.24889593957524897,0.12845115979265925,0.17802547214808706,0.0002728198460365845,6.21194836141262,42.07189547101829,2.255592038937828,0.9999940123565972,0.02471923828125,0.12843724956198432,1.3910230674955566e-05
neural_information_transfer,12101,8.0,2,point,0.2487646693469185,0.1283834133557183,0.177876470139605,0.00031235485520267933,6.211734558176632,42.082111338381665,2.2542275509813368,0.9999932289250862,0.02471923828125,0.12837040317685258,1.301017886572628e-05
neural_information_transfer,12101,8.0,2,restored,0.24894431324823563,0.12847612466114675,0.17804959272915893,0.00028041789615228745,6.211837729533231,42.072328331163824,2.255421444669135,0.999993910574803,0.024800618489583332,0.12846546614346857,1.0658517678160822e-05
neural_information_transfer,12101,8.0,2,shuffled,0.24953027091311694,0.12877852791357364,0.1781666879226103,0.0004985126092941585,6.205310487672376,42.059569983110585,2.2495816683057863,0.9999877307093756,0.024943033854166664,0.1287719377171406,6.5901964330262946e-06
neural_information_transfer,12101,8.0,4,restored,0.21442204845329282,0.11065974340901696,0.12757873500427558,0.018803054205938516,6.003760959961472,42.53672156159426,1.9731524034788073,0.9999916697735732,0.015787760416666664,0.09439527595320657,0.016264467455810394
neural_information_transfer,12101,8.0,4,point,0.22461120723072356,0.11591820308700958,0.13062125475606967,0.021870899662639415,6.024120480870383,42.7415427848,1.97316063329669,0.9999907641740962,0.015787760416666664,0.09746898293010994,0.01844922015689962
neural_information_transfer,12101,8.0,4,shuffled,0.22492673639785923,0.11608104257541647,0.13088954447206294,0.021840570555531142,6.024490588083337,42.73315690335828,1.9744967712449246,0.9999753371911825,0.015625,0.09765330150046606,0.018427741074950404
neural_information_transfer,12101,8.0,4,weight,0.2225540366518567,0.11485653069814807,0.13000848940809204,0.021250418324321774,6.019159115865083,42.69242566629816,1.973070884358912,0.9999923038316613,0.015645345052083332,0.09683794249354327,0.01801858820460478
neural_information_transfer,12101,8.0,16,shuffled,0.0005647884714346535,0.00029147817484331037,0.00038588807820248716,1.3638758537524968e-05,5.499662143874552,41.75682089983505,1.499482254019328,1.0000000000000013,0.02532958984375,0.00029147750432109254,6.705222237092938e-10
neural_information_transfer,12101,8.0,16,weight,0.0002841702131958059,0.00014665564060956817,0.00018523681081485506,1.3285136822876226e-05,5.497879695522463,41.74616296925144,1.498679019890125,1.0000000000000007,0.02520751953125,0.00014665213112535758,3.5094842146694342e-09
neural_information_transfer,12101,8.0,16,restored,0.0002995630755422433,0.00015459964734709417,0.00019644134175112124,1.3161881286288705e-05,5.497888321662081,41.74599532529024,1.4987070935578075,1.0000000000000004,0.025187174479166664,0.00015459712683187212,2.520515224108645e-09
neural_information_transfer,12101,8.0,16,point,0.0002656810974834029,0.0001371137077003701,0.00017262749084996534,1.2821914288397114e-05,5.497892293907588,41.74576148188616,1.4987373035288178,1.0000000000000013,0.025166829427083332,0.00013711217275385744,1.5349465149485715e-09
neural_information_transfer,12101,32.0,2,weight,0.23176078867024644,0.12987866522597113,0.180387035036071,0.0,6.248731748652121,42.45127130712223,2.2545778857360648,0.9999940147604414,0.0,0.12987866522597113,0.0
neural_information_transfer,12101,32.0,2,shuffled,0.23176078867024644,0.12987866522597113,0.180387035036071,0.0,6.248731748652121,42.45127130712223,2.2545778857360648,0.9999940147604414,0.0,0.12987866522597113,0.0
neural_information_transfer,12101,32.0,2,restored,0.23176078867024644,0.12987866522597113,0.180387035036071,0.0,6.248731748652121,42.45127130712223,2.2545778857360648,0.9999940147604414,0.0,0.12987866522597113,0.0
neural_information_transfer,12101,32.0,2,point,0.23176078867024644,0.12987866522597113,0.180387035036071,0.0,6.248731748652121,42.45127130712223,2.2545778857360648,0.9999940147604414,0.0,0.12987866522597113,0.0
neural_information_transfer,12101,32.0,4,shuffled,0.26759766889915143,0.14996164042077686,0.20828005613996783,0.0,6.081440885080096,43.317968336220616,1.9732092036991813,0.9999927855239615,0.0,0.14996164042077686,0.0
neural_information_transfer,12101,32.0,4,weight,0.26759766889915143,0.14996164042077686,0.20828005613996783,0.0,6.081440885080096,43.317968336220616,1.9732092036991813,0.9999927855239615,0.0,0.14996164042077686,0.0
